mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
35.126049200693764,0.11774276257360242,0.1603081226348877,0.02012236504692097,gbdt,0.01,100,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}",0.8977341306852472,0.9011521580102414,0.8991038771031455,0.8993300552662115,0.0014045390987052445,51
49.24683221181234,0.234542509394679,0.16557900110880533,0.015724326258761325,gbdt,0.01,100,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 50}",0.8997823741336113,0.9029992684711046,0.9010972933430871,0.9012929786492676,0.0013205609537718735,50
86.92218669255574,6.183265544280796,0.2055215835571289,0.005250150953111976,gbdt,0.01,100,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 100}",0.9023975421078619,0.9050658376005852,0.9030175566934894,0.9034936454673121,0.0011401595208688823,48
61.4790244102478,0.3444976095901628,0.4175882339477539,0.08219693934685342,gbdt,0.01,200,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 31}",0.9051407252976353,0.9085771762984638,0.9063094367227505,0.9066757794396166,0.0014266403681199877,46
79.89276393254598,0.2930691734845494,0.49381764729817706,0.0223703718765995,gbdt,0.01,200,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 50}",0.9063843016769993,0.9098573518653987,0.9080833942940746,0.9081083492788243,0.001417976602118465,41
146.07373825709024,0.8073960245196805,0.535916805267334,0.021726269719591258,gbdt,0.01,200,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 100}",0.9082496662460452,0.9116678858814923,0.909070958302853,0.9096628368101302,0.0014568908663249224,37
122.97399934132893,0.7586940559631321,1.3620479901631672,0.20207570579398126,gbdt,0.01,500,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 500, 'num_leaves': 31}",0.908377681461568,0.9114850036576445,0.9102231163130944,0.9100286004774357,0.0012759937605121387,34
189.56384348869324,1.362866372747627,1.3765687942504883,0.06595811213289673,gbdt,0.01,500,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 500, 'num_leaves': 50}",0.9094383789616137,0.9126920263350402,0.9108814923189466,0.9110039658718669,0.001331116107138404,29
337.1217650572459,1.1364256034785405,2.358442703882853,0.08933598984018519,gbdt,0.01,500,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.01, 'n_estimators': 500, 'num_leaves': 100}",0.9112123040910005,0.9139539136795903,0.9127834674469641,0.9126498950725184,0.001123235495780896,17
28.36985699335734,0.6018194000923128,0.22400259971618652,0.025942023889224477,gbdt,0.05,100,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}",0.9084691209012271,0.9115764447695685,0.9097841989758595,0.9099432548822183,0.001273535627482711,35
