mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
42.28372494379679,31.404982946099263,0.3598486582438151,0.02659420341679204,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.8853166547795395,0.8890819312362839,0.8884967081199707,0.8876317647119314,0.0016543723932378892,27
96.50482479731242,5.603741859639883,0.6683207352956136,0.025394303954146557,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.9016477387026572,0.9047366495976591,0.9028346744696415,0.9030730209233192,0.0012722550591504477,24
204.7055581410726,20.3556502448623,1.6233176390329997,0.10273925403238707,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.907243832409795,0.9107717629846379,0.9078090709583029,0.9086082221175786,0.0015471598639133681,22
87.93408203125,4.7371641023465205,1.2899360656738281,1.1250388509071165,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.8901263693056088,0.892538405267008,0.8915508412582297,0.8914052052769489,0.0009900797102770466,26
101.83622519175212,18.414082824148988,1.1704436143239338,0.06481862389519225,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9060734075821584,0.909400146305779,0.906437454279444,0.9073036693891271,0.0014898644448387082,23
171.42165835698447,18.233207011763714,2.786627451578776,0.01364582486122269,0.01,7,500,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500}",0.9102430460306139,0.9132040965618142,0.9105157278712509,0.9113209568212263,0.0013362261057394311,16
85.92161162694295,1.5585948855058378,1.42133363087972,0.03641743615429311,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.8937656590040416,0.8964703730797366,0.8952999268471105,0.8951786529769629,0.0011075197730367823,25
198.76657191912332,8.363597943934797,3.72560445467631,0.18459260127936558,0.01,10,200,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",0.9089080302115908,0.9117593269934162,0.910332845647403,0.9103334009508034,0.001164037103012142,20
400.67390727996826,14.529546805625632,6.574360768000285,0.06983297519518329,0.01,10,500,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.9123827289186371,0.9146854425749817,0.9132955376737382,0.9134545697224524,0.0009467808405918285,11
18.35875113805135,0.14456103816941632,0.31783604621887207,0.011208097095969661,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.9073901355132495,0.9106071689831748,0.9081931236283833,0.9087301427082691,0.0013671425689556625,21
40.72256747881571,6.165335706100895,0.6739046573638916,0.00569008446566676,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.9094200910736819,0.9121433796634967,0.9109180687637162,0.9108271798336315,0.0011136339267050408,18
95.86695416768391,12.91040956904283,1.741166114807129,0.07300615432469712,0.05,5,500,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",0.9114317587461824,0.9135149963423556,0.9126371616678859,0.9125279722521413,0.0008539755917317081,14
31.306348880132038,0.4877077127063398,0.537489096323649,0.025172992096583597,0.05,7,100,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",0.9099870155995684,0.9130395025603512,0.9104608632040966,0.9111624604546721,0.00134129245827758,17
71.92914072672527,8.538334174870757,1.165711800257365,0.01514004206806808,0.05,7,200,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}",0.911779228616887,0.9142648134601317,0.9126920263350402,0.9129120228040196,0.0010265904207665548,12
167.8033529917399,15.950003880535396,3.196910301844279,0.18997734782845738,0.05,7,500,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 500}",0.9139006236169784,0.9153072421360644,0.9150694952450622,0.9147591203327017,0.0006147592234503963,6
93.33180936177571,7.5698773344802035,1.5684396425882976,0.13077920390004708,0.05,10,100,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",0.9130593807721147,0.9152340892465253,0.9135881492318947,0.9139605397501782,0.0009260472488841723,9
162.51924363772073,7.5502915317270665,2.8806952635447183,0.33275005800622637,0.05,10,200,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}",0.9140652146083649,0.9158010241404535,0.9144476956839795,0.9147713114775993,0.0007446717707968376,5
335.63765056927997,24.67417515692106,5.505026181538899,1.3182741955249075,0.05,10,500,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 500}",0.9140652146083649,0.9158010241404535,0.9149780541331383,0.9149480976273189,0.0007089577923981632,3
23.843759298324585,3.7399353517548235,0.345178763071696,0.01814866113047505,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.90940180318575,0.9120519385515727,0.9101316752011704,0.910528472312831,0.0011177030986693865,19
34.36876972516378,0.20851435350231565,0.6599562168121338,0.002945556562208127,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9115597739617052,0.9132040965618142,0.9118324798829553,0.912198783468825,0.0007195289853198062,15
103.9332865079244,18.15090590996449,1.6829912662506104,0.0142182510821295,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",0.9126570472376145,0.9139173372348208,0.9138624725676664,0.9134789523467006,0.0005816061320067635,10
35.157435735066734,6.677043167322605,0.5052759647369385,0.010100522541491883,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.911267167754796,0.9140453547915143,0.912801755669349,0.9127047594052198,0.0011362620029989113,13
72.04658087094624,19.776255946408458,1.1938792864481609,0.07615652019585073,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9126204714617508,0.9149780541331383,0.9146305779078273,0.9140763678342387,0.0010392018146496815,8
170.01709389686584,26.32169641251531,2.766176462173462,0.24947835918093372,0.1,7,500,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",0.9139554872807739,0.9158924652523774,0.9150694952450622,0.9149724825927379,0.0007937377848519756,2
72.43057322502136,0.7983018717369325,1.3683520158131917,0.06557589344181003,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.9135165779704102,0.9156181419166057,0.9141185076810534,0.9144177425226898,0.0008836661786082269,7
134.17474500338236,8.395523329979024,1.9813693364461262,0.16541563603395498,0.1,10,200,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",0.9142298055997513,0.9160021945866862,0.9146122896854426,0.9149480966239601,0.0007615402835566644,4
177.28825902938843,5.770860062104682,2.6971237659454346,0.1244653942684138,0.1,10,500,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.9144126844790695,0.9158924652523774,0.9149049012435991,0.915070016991682,0.0006152967804031196,1
